"","ancestral","birth","death","duration","nfinds","fa","la"
"96",71,4.71213172117714,4.83193451586401,0.119802794686868,0,0,0
"97",78,4.75299590129871,5.15436990382243,0.401374002523726,0,0,0
"98",68,4.95289902810473,5.70140534338733,0.748506315282598,0,0,0
"99",79,4.95441447347402,6.03907716315306,1.08466268967904,1,5.55566291657505,5.55566291657505
"100",87,4.99674746061209,5.19906759691376,0.20232013630167,0,0,0
"101",76,5.00852722374256,5.16429235885837,0.15576513511581,0,0,0
"102",92,5.00318449949846,5.94744152195636,0.944257022457904,0,0,0
"103",92,5.03212561579421,5.2116918036228,0.179566187828595,0,0,0
"104",76,5.17775966876652,6.03838421196507,0.860624543198553,0,0,0
"105",103,5.12426457796246,5.60401877226924,0.479754194306784,0,0,0
"106",78,5.26675225968938,7.16630433952233,1.89955207983295,0,0,0
"107",92,5.29977650314104,5.30341748689796,0.00364098375692379,0,0,0
"108",102,5.28347172860522,5.88459402725257,0.601122298647352,0,0,0
"109",78,5.37178968484513,6.80953968089709,1.43774999605196,1,5.4273411018412,5.4273411018412
"110",102,5.32021650543902,5.57109056142028,0.250874055981265,0,0,0
"111",104,5.35026014579925,6.16235564735284,0.812095501553591,1,5.8492471100104,5.8492471100104
"112",104,5.37899173232726,6.81705339512155,1.43806166279429,1,6.66495050130388,6.66495050130388
"113",104,5.39903902581427,6.02855933163807,0.629520305823796,0,0,0
"114",108,5.36491837599314,5.42325796425668,0.0583395882635376,0,0,0
