"all_names","ancestral_node","divergence_date","branch_duration","origination_rate_at_birth","fa","la","is_ancestor"
"A3",7,4.11508281978917,0.12464496752111,1,3.99043785226806,3.99043785226806,0
"E3",2,3.91829134422027,0.83478097446891,1,3.08351036975136,0,0
"F3",19,3.97998832888574,0.07890610018692,1,3.90108222869882,2.89472182776044,1
"G3",11,3.88534830138691,0.11999643941729,1.27763173659828,3.76535186196962,3.76535186196962,1
"H3",23,4.86449444247407,1.40331813815532,0.346073532593335,3.46117630431875,1.9371616896503,0
"L3",20,4.57452617693365,1.49903317283864,0.825646612855222,3.07549300409501,3.07549300409501,0
"N3",23,4.86449444247407,1.52187123325991,0.346073532593335,3.34262320921416,2.33156974648425,0
"O3",12,4.46035857967951,1.30905328847419,0.346073532593335,3.15130529120532,3.15130529120532,0
"Q3",12,4.46035857967951,0.85076591930128,0.346073532593335,3.60959266037823,3.60959266037823,0
"R3",19,3.65790518993184,0.57061935247003,0.825646612855222,3.08728583746181,1.28728452936576,0
"S3",11,3.76535186196962,1.25421200673707,0.614337519188015,2.51113985523255,2.51113985523255,0
"node_01",0,7.88840665347547,1.05436061834916,2.57691472072854,0,0,0
"node_02",1,6.83404603512631,2.91575469090604,2.43508452528932,0,0,0
"node_03",1,7.51219546134257,2.43729513923172,2.57691472072854,0,0,0
"node_04",1,7.51963077844725,0.712930019455957,2.57691472072854,0,0,0
"node_05",3,5.07490032211084,0.613436389598061,0.614337519188015,0,0,0
"node_06",3,5.21099047707998,0.44870602649171,1.27763173659828,0,0,0
"node_07",2,5.5979586286065,1.48287580881733,1.67294447324243,0,0,0
"node_08",3,6.59375210169841,2.7084038003115,2.07158361628019,0,0,0
"node_09",4,6.80670075899129,0.230266359122471,2.43508452528932,0,0,0
"node_10",3,7.25058528134272,1.69301788338926,2.50851199384414,0,0,0
"node_11",8,3.88534830138691,0.11999643941729,1.27763173659828,0,0,0
"node_12",6,4.76228445058827,0.78229612170253,0.825646612855222,0,0,0
"node_13",10,5.55756739795346,0.32636956031728,1.58778666490212,0,0,0
"node_14",8,5.5678834647932,0.451282796380109,1.58778666490212,0,0,0
"node_15",10,6.57448138248314,0.7997792246053,2.17557332980424,0,0,0
"node_16",9,6.57643439986882,0.25154665510636,2.17557332980424,0,0,0
"node_17",9,6.72993678516381,2.15089180376381,2.35583515363518,0,0,0
"node_18",9,6.7572418343569,0.21993009140715,2.35583515363518,0,0,0
"node_19",12,3.97998832888574,0.322083138953901,1,0,0,0
"node_20",14,5.20954629877255,0.635020121838899,1.27763173659828,0,0,0
"node_21",15,5.77470215787784,0.41853484166786,1.82417544296635,0,0,0
"node_22",17,6.3472059785216,0.612117963633501,2.07158361628019,0,0,0
"node_23",17,6.5088802557499,1.64438581327583,2.17557332980424,0,0,0
